Tiempo				Velocidad (K)	Altitud (M)		Temperatura (C)
2009:16:14:01:444	24.38554		223.62879		-17.75074
2009:16:14:01:741	32.46673		373.54072		-17.73823
2009:16:14:01:991	33.49627		556.47121		-17.67177
2009:16:14:01:241	56.41818		920.2855		-17.65794
2009:16:14:01:491	95.60199		1306.68899		-17.56496
2009:16:14:01:741	115.51743		1413.87784		-17.50547
2009:16:14:01:991	120.04736		1779.17682		-17.45388
2009:16:14:01:241	123.10136		1919.52121		-17.43048
2009:16:14:01:491	133.27871		2334.03353		-17.42905
2009:16:14:01:741	140.53468		2925.76837		-17.32685
2009:16:14:01:991	161.53563		3926.16632		-17.26963
2009:16:14:01:241	166.74197		4255.23734		-17.25793
2009:16:14:01:491	176.94556		4376.21971		-16.92694
2009:16:14:01:741	179.64272		4423.53635		-16.91994
2009:16:14:01:991	225.15924		4572.02271		-16.90613
2009:16:14:01:241	225.99184		4652.07169		-16.85007
2009:16:14:01:491	238.84001		4720.91609		-16.74306
2009:16:14:01:741	245.16795		4803.84863		-16.72036
2009:16:14:01:991	249.71135		4811.26246		-16.59831
2009:16:14:01:241	261.72733		4949.56926		-16.29128
2009:16:14:01:491	262.15208		5180.08215		-16.09345
2009:16:14:01:757	272.13986		5284.61269		-15.83657
2009:16:14:01:07	272.38088		5484.8956		-15.74205
2009:16:14:01:257	285.2896		6327.71437		-15.72525
2009:16:14:01:507	317.46566		6675.92243		-15.66602
2009:16:14:01:757	363.63952		6825.31858		-15.5738
2009:16:14:01:07	368.99229		7283.83831		-15.52822
2009:16:14:01:257	371.03405		7337.71134		-15.22787
2009:16:14:01:507	381.54941		7347.40123		-15.16743
2009:16:14:01:757	393.8021		7358.90243		-14.98146
2009:16:14:01:07	411.32545		7436.80078		-14.92179
2009:16:14:01:257	415.62797		8101.89596		-14.87801
2009:16:14:01:507	438.66474		8377.23983		-14.84435
2009:16:14:01:757	473.06653		8631.16228		-14.73154
2009:16:14:01:07	477.28819		8897.30153		-14.68522
2009:16:14:01:257	478.18686		8921.57932		-14.34609
2009:16:14:01:507	490.88587		9291.63813		-14.34052
2009:16:14:01:757	491.51314		9883.76225		-14.23964
2009:16:14:01:07	497.66095		10195.26377		-14.15618
2009:16:14:01:257	502.06287		11137.26596		-14.10891
2009:16:14:01:507	545.49631		11183.37051		-14.09622
2009:16:14:01:757	559.0445		11995.54227		-13.92267
2009:16:14:01:07	664.43947		12715.26287		-13.7919
2009:16:14:01:257	704.41601		12898.09915		-13.78157
2009:16:14:01:507	711.61352		13881.95733		-13.68213
2009:16:14:01:757	742.28576		14316.46776		-13.58896
2009:16:14:01:07	756.41585		14336.45427		-13.39645
2009:16:14:01:257	757.41239		14398.36271		-13.27822
2009:16:14:01:507	772.75303		14533.82802		-13.11471
2009:16:14:01:757	789.63391		14693.47955		-12.75984
2009:16:14:01:07	795.86803		14766.44344		-12.75632
2009:16:14:01:257	852.12936		15308.06929		-12.69978
2009:16:14:01:507	893.04972		15502.39722		-12.68362
2009:16:14:01:757	900.92039		15737.67813		-12.62348
2009:16:14:01:23	930.9952		15784.41408		-12.46087
2009:16:14:01:273	950.90801		16063.17886		-12.37238
2009:16:14:01:523	956.49443		16173.10004		-12.23227
2009:16:14:01:773	966.0194		16382.71663		-12.13109
2009:16:14:01:23	987.00128		16863.50365		-11.80854
2009:16:14:01:273	1008.80867		17267.97638		-11.65353
2009:16:14:01:523	1025.56644		18004.19857		-11.28879
2009:16:14:01:773	1032.35088		18059.97498		-11.171
2009:16:14:01:23	1055.02873		18289.49945		-11.1567
2009:16:14:01:273	1070.29249		18958.83879		-11.12129
2009:16:14:01:523	1124.61457		19375.20234		-10.78904
2009:16:14:01:773	1132.86626		20925.07463		-10.78548
2009:16:14:01:23	1139.62688		21342.65877		-10.78433
2009:16:14:01:273	1183.25081		21547.63787		-10.74461
2009:16:14:01:523	1241.85785		22179.70656		-10.59299
2009:16:14:01:773	1242.79464		22307.66937		-10.47517
2009:16:14:01:23	1282.77563		22721.92496		-10.34068
2009:16:14:01:273	1289.28528		22855.37544		-10.27682
2009:16:14:01:523	1289.88461		23246.65676		-10.24821
2009:16:14:01:773	1292.53437		23281.60198		-10.24319
2009:16:14:01:23	1323.77381		23326.12951		-10.07468
2009:16:14:01:273	1357.2093		23466.62997		-10.07018
2009:16:14:01:523	1384.9839		23581.36324		-10.02429
2009:16:14:01:773	1390.32597		23681.34551		-9.994
2009:16:14:01:23	1393.97297		23823.99979		-9.69587
2009:16:14:01:273	1467.11838		23975.38865		-9.69219
2009:16:14:01:523	1484.43846		24039.01552		-9.66179
2009:16:14:01:773	1506.40242		24244.85054		-9.63994
2009:16:14:01:23	1518.06653		24983.64225		-9.52843
2009:16:14:01:273	1558.08655		26682.62007		-9.51182
2009:16:14:01:523	1560.62883		27207.73607		-9.31632
2009:16:14:01:773	1562.33813		27248.09694		-9.18619
2009:16:14:01:23	1569.59105		27509.16912		-9.0465
2009:16:14:01:273	1572.87184		27792.72288		-9.03386
2009:16:14:01:538	1576.97468		28210.62906		-8.66834
2009:16:14:01:788	1595.89062		28247.04665		-8.58181
2009:16:14:01:38	1598.32004		28357.60471		-8.54611
2009:16:14:01:288	1681.75995		28498.46092		-8.38619
2009:16:14:01:538	1694.48634		28648.71381		-8.25398
2009:16:14:01:788	1727.18419		29101.13586		-8.19827
2009:16:14:01:38	1762.66812		29282.36088		-7.53788
2009:16:14:01:288	1778.92596		29367.35268		-7.5167
2009:16:14:01:538	1779.89337		29820.18016		-7.37105
2009:16:14:01:788	1800.66942		30010.93068		-7.27535
2009:16:14:01:38	1825.93464		30167.38039		-7.06115
2009:16:14:01:288	1850.63968		30307.47553		-6.82052
