Tiempo				Velocidad (K)	Altitud (M)		Temperatura (C)
2009:16:14:01:444	24.38554		223.62879		-17.67177
2009:16:14:01:241	56.41818		920.2855		-17.50547
2009:16:14:01:991	120.04736		1779.17682		-17.42905
2009:16:14:01:741	140.53468		2925.76837		-17.25793
2009:16:14:01:491	176.94556		4376.21971		-16.90613
2009:16:14:01:241	225.99184		4652.07169		-16.72036
2009:16:14:01:991	249.71135		4811.26246		-16.09345
2009:16:14:01:757	272.13986		5284.61269		-15.72525
2009:16:14:01:507	317.46566		6675.92243		-15.52822
2009:16:14:01:257	371.03405		7337.71134		-14.98146
2009:16:14:01:07	411.32545		7436.80078		-14.84435
2009:16:14:01:757	473.06653		8631.16228		-14.34609
2009:16:14:01:507	490.88587		9291.63813		-14.15618
2009:16:14:01:257	502.06287		11137.26596		-13.92267
2009:16:14:01:07	664.43947		12715.26287		-13.68213
2009:16:14:01:757	742.28576		14316.46776		-13.27822
2009:16:14:01:507	772.75303		14533.82802		-12.75632
2009:16:14:01:257	852.12936		15308.06929		-12.62348
2009:16:14:01:23	930.9952		15784.41408		-12.23227
2009:16:14:01:773	966.0194		16382.71663		-11.65353
2009:16:14:01:523	1025.56644		18004.19857		-11.1567
2009:16:14:01:273	1070.29249		18958.83879		-10.78548
2009:16:14:01:23	1139.62688		21342.65877		-10.59299
2009:16:14:01:773	1242.79464		22307.66937		-10.27682
2009:16:14:01:523	1289.88461		23246.65676		-10.07468
2009:16:14:01:273	1357.2093		23466.62997		-9.994
2009:16:14:01:23	1393.97297		23823.99979		-9.66179
2009:16:14:01:773	1506.40242		24244.85054		-9.51182
2009:16:14:01:523	1560.62883		27207.73607		-9.0465
2009:16:14:01:273	1572.87184		27792.72288		-8.58181
2009:16:14:01:38	1598.32004		28357.60471		-8.25398
2009:16:14:01:788	1727.18419		29101.13586		-7.5167
2009:16:14:01:538	1779.89337		29820.18016		-7.06115
2009:16:14:01:288	1850.63968		30307.47553		
